City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
674,Hasilpur,29.7122,72.5553,88.3,52,31,6.98,PK,2021-09-19 23:10:45
675,Sain Alto,23.5833,-103.25,72.34,44,84,3.31,MX,2021-09-19 23:10:46
676,Zaraza,9.3503,-65.3245,78.1,81,78,2.82,VE,2021-09-19 23:10:46
677,Roma,43.2128,-75.4557,64.87,71,1,4.61,US,2021-09-19 23:09:07
678,Kutum,14.2,24.6667,78.84,39,44,7.11,SD,2021-09-19 23:10:46
679,Lincoln,40.8,-96.667,89.67,47,1,7.0,US,2021-09-19 23:10:46
680,Poum,-20.2333,164.0167,72.57,62,6,15.93,NC,2021-09-19 23:10:47
681,Rafraf,37.1904,10.1837,75.51,80,0,16.75,TN,2021-09-19 23:10:47
682,Medina Del Campo,41.3124,-4.9141,58.71,43,37,2.21,ES,2021-09-19 23:10:47
683,Nizhniy Ingash,56.2,96.53,50.74,91,100,2.91,RU,2021-09-19 23:10:48
684,Tual,-5.6667,132.75,79.93,81,74,18.05,ID,2021-09-19 23:10:48
685,Proletarskiy,50.7914,35.7731,53.69,90,64,3.65,RU,2021-09-19 23:10:48
686,Eureka,40.8021,-124.1637,72.75,73,47,9.08,US,2021-09-19 23:10:48
